model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):

def max_sublist_sum(arr):
    max_ending_here = 0
    max_so_far = 0

    for x in arr:
        max_ending_here = max(0, max_ending_here + x)
        max_so_far = max(max_so_far, max_ending_here)

    return max_so_far

""""""
def max_sublist_sum(arr):
...",1,1,0.6047,1,1,1,0,0,0,1,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):
from heapq import *

def shortest_path_length(length_by_edge, startnode, goalnode):
    unvisited_nodes = [] # FibHeap containing (node, distance) pairs
    heappush(unvisited_nodes, (0, startnode))
    visited_nodes = set()

    while len(unvisited_nodes) ...",1,1,0.2959,1,1,1,0,0,0,1,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):
def topological_ordering(nodes):
    ordered_nodes = [node for node in nodes if not node.incoming_nodes]

    for node in ordered_nodes:
        for nextnode in node.outgoing_nodes:
            if set(ordered_nodes).issuperset(nextnode.outgoing_nodes) and nex...",1,1,0.2176,0,0,0,1,0,0,0,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):
from .node import Node
from .depth_first_search import depth_first_search


""""""
Driver to test depth first search
""""""
def main():
    # Case 1: Strongly connected graph
    # Output: Path found!
    station1 = Node(""Westminster"")
    station2 = Node(""Wa...",1,1,0.3515,0,0,0,1,0,0,0,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):

import string
def to_base(num, b):
    result = ''
    alphabet = string.digits + string.ascii_uppercase
    while num > 0:
        i = num % b
        num = num // b
        result = result + alphabet[i]
    return result



""""""
Integer Base Conver...",1,1,0.1962,0,0,0,1,0,0,0,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):

def kth(arr, k):
    pivot = arr[0]
    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]

    num_less = len(below)
    num_lessoreq = len(arr) - len(above)

    if k < num_less:
        return kth(below, k)
    elif k >=...",1,1,0.1954,1,1,1,0,0,0,1,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):
from .node import Node
from .detect_cycle import detect_cycle


""""""
Driver to test reverse linked list
""""""
def main():
    # Case 1: 5-node list input with no cycle
    # Expected Output: Cycle not detected!
    node1 = Node(1)
    node2 = Node(2, node1...",0,0,0.3449,0,1,0,0,1,0,0,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):

def shortest_paths(source, weight_by_edge):
    weight_by_node = {
        v: float('inf') for u, v in weight_by_edge
    }
    weight_by_node[source] = 0

    for i in range(len(weight_by_node) - 1):
        for (u, v), weight in weight_by_edge.items():...",1,1,0.2886,0,0,0,1,0,0,0,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):
def hanoi(height, start=1, end=3):
    steps = []
    if height > 0:
        helper = ({1, 2, 3} - {start} - {end}).pop()
        steps.extend(hanoi(height - 1, start, helper))
        steps.append((start, helper))
        steps.extend(hanoi(height - 1, help...",0,0,0.2592,0,1,0,0,1,0,0,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

STRICT MODE: Output one digit only. Extra text will break the system.


Input (Code):
def kth(arr, k):
    pivot = arr[0]
    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]

    num_less = len(below)
    num_lessoreq = len(arr) - len(above)

    if k < num_less:
        return kth(below, k)
    elif k >= n...",1,1,0.2114,0,0,0,1,0,0,0,0.52,0.5172,0.6,0.5556,50,9.707345004270247e-05
