model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,gt_label,summary_accuracy,summary_f1_macro,summary_f1_god_class,summary_f1_long_method,summary_f1_data_class,summary_f1_feature_envy,summary_f1_none,summary_total_predictions,summary_correct,summary_emissions_kgCO2
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R0|T=T0|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Read the code carefully and understand its structure.
2. Ask: Is this a class or a method?
3. Check for God Class: does this class have too many responsibilities?
4. Check for Long Method: is this method excessively long or complex?
5. Check for Data Class: does this class only hold data with no real behavior?
6. Check for Feature...",data_class,data_class,3.1034,long_method,0,long_method,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R0|T=T0|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Read the code carefully and understand its structure.
2. Ask: Is this a class or a method?
3. Check for God Class: does this class have too many responsibilities?
4. Check for Long Method: is this method excessively long or complex?
5. Check for Data Class: does this class only hold data with no real behavior?
6. Check for Feature...",data_class,data_class,0.1123,long_method,0,long_method,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R1|T=T2|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Identify if this is a class-level or method-level snippet.
2. For classes: look for God Class (too many fields/methods) or Data Class (only getters/setters).
3. For methods: look for Long Method (excessive length/complexity) or Feature Envy (heavy use of external class data).
4. If no smell is present, output none.
5. Output only t...",data_class,data_class,0.1503,long_method,0,long_method,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R0|T=T0|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Read the code carefully and understand its structure.
2. Ask: Is this a class or a method?
3. Check for God Class: does this class have too many responsibilities?
4. Check for Long Method: is this method excessively long or complex?
5. Check for Data Class: does this class only hold data with no real behavior?
6. Check for Feature...",feature_envy,feature_envy,0.174,feature_envy,1,feature_envy,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R0|T=T0|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Read the code carefully and understand its structure.
2. Ask: Is this a class or a method?
3. Check for God Class: does this class have too many responsibilities?
4. Check for Long Method: is this method excessively long or complex?
5. Check for Data Class: does this class only hold data with no real behavior?
6. Check for Feature...",feature_envy,feature_envy,0.1206,feature_envy,1,feature_envy,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R1|T=T2|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Identify if this is a class-level or method-level snippet.
2. For classes: look for God Class (too many fields/methods) or Data Class (only getters/setters).
3. For methods: look for Long Method (excessive length/complexity) or Feature Envy (heavy use of external class data).
4. If no smell is present, output none.
5. Output only t...",long_method,long_method,0.1561,feature_envy,0,feature_envy,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R0|T=T0|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Read the code carefully and understand its structure.
2. Ask: Is this a class or a method?
3. Check for God Class: does this class have too many responsibilities?
4. Check for Long Method: is this method excessively long or complex?
5. Check for Data Class: does this class only hold data with no real behavior?
6. Check for Feature...",none,none,0.1446,feature_envy,0,feature_envy,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R0|T=T0|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Read the code carefully and understand its structure.
2. Ask: Is this a class or a method?
3. Check for God Class: does this class have too many responsibilities?
4. Check for Long Method: is this method excessively long or complex?
5. Check for Data Class: does this class only hold data with no real behavior?
6. Check for Feature...",none,none,0.0964,feature_envy,0,feature_envy,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R1|T=T2|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Identify if this is a class-level or method-level snippet.
2. For classes: look for God Class (too many fields/methods) or Data Class (only getters/setters).
3. For methods: look for Long Method (excessive length/complexity) or Feature Envy (heavy use of external class data).
4. If no smell is present, output none.
5. Output only t...",none,none,0.1294,feature_envy,0,feature_envy,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
qwen2.5-coder:1.5b,technical_debt,O=O0|R=R0|T=T0|V=V0,"Output exactly one of these labels: none | god_class | long_method | data_class | feature_envy. No other text.

***Internal reasoning steps (DO NOT output)***
1. Read the code carefully and understand its structure.
2. Ask: Is this a class or a method?
3. Check for God Class: does this class have too many responsibilities?
4. Check for Long Method: is this method excessively long or complex?
5. Check for Data Class: does this class only hold data with no real behavior?
6. Check for Feature...",feature_envy,feature_envy,0.1516,god_class,0,god_class,0.4267,0.3879,0.0976,0.4444,0.7273,0.2824,0,150,64,0.001218475
